01-A-x;01-A-y;01-A-z;02-A-x;02-A-y;02-A-z;05-A-x;05-A-y;05-A-z;16-A-x;16-A-y;16-A-z;17-A-x;17-A-y;17-A-z;18-A-x;18-A-y;18-A-z;19-A-x;19-A-y;19-A-z;20-A-x;20-A-y;20-A-z;21-A-x;21-A-y;21-A-z
-0.9846939004353097;0.015488497601736336;0.22242171882458225;-1.018639941969936;0.004595051412892941;-0.11732821859207117;-0.9146691436992587;-0.2068897384240891;-0.4019418311363996;-0.9285537210589339;-0.030452572178421677;-0.3976348932141443;-0.9285537210589339;-0.030452572178421677;-0.3976348932141443;-0.9795098966884123;-0.01831872381988255;0.2264800301356131;-0.9795098966884123;-0.01831872381988255;0.2264800301356131;-0.9795098966884123;-0.01831872381988255;0.2264800301356131;-0.9846939004353097;0.015488497601736336;0.22242171882458225
-0.9847835672683825;0.015699043337011564;0.22242006024825184;-1.0168151431243577;0.010896570672852119;-0.11671994203602416;-0.9134476503235204;-0.2074115366184582;-0.40222227225380497;-0.9276356889309147;-0.02415509263992549;-0.401912382395687;-0.9276356889309147;-0.02415509263992549;-0.401912382395687;-0.9783809135357626;-0.015391619494911097;0.2262402850227561;-0.9783809135357626;-0.015391619494911097;0.2262402850227561;-0.9783809135357626;-0.015391619494911097;0.2262402850227561;-0.9847835672683825;0.015699043337011564;0.22242006024825184
-0.9815618965670808;0.015313762018655523;0.22510970602480262;-1.017922490809861;0.012094077165671268;-0.12001146375027381;-0.9171687257004305;-0.20444424032008235;-0.4029589507469649;-0.924904859283485;-0.023255036263568826;-0.3970308946485425;-0.924904859283485;-0.023255036263568826;-0.3970308946485425;-0.975771060641408;-0.013176139606467652;0.2291735036718692;-0.975771060641408;-0.013176139606467652;0.2291735036718692;-0.975771060641408;-0.013176139606467652;0.2291735036718692;-0.9815618965670808;0.015313762018655523;0.22510970602480262
-0.9823075630237726;0.017714728201376147;0.22746888127093545;-1.0183836085673121;0.010719617858454062;-0.12056338852236005;-0.9155352809355645;-0.2026848507995561;-0.39868015704346427;-0.928843329678774;-0.023435244390771846;-0.3963534231797694;-0.928843329678774;-0.023435244390771846;-0.3963534231797694;-0.9794329295843884;-0.011362280732103783;0.2307940950695311;-0.9794329295843884;-0.011362280732103783;0.2307940950695311;-0.9794329295843884;-0.011362280732103783;0.2307940950695311;-0.9823075630237726;0.017714728201376147;0.22746888127093545
-0.987828859673153;0.02283813361915364;0.22329139328059391;-1.0076792945258521;0.017460233297671504;-0.1263565272316468;-0.9141828776833045;-0.20362407063109672;-0.40408022621133016;-0.9276922687949433;-0.023400411099985433;-0.3992767564243617;-0.9276922687949433;-0.023400411099985433;-0.3992767564243617;-0.980386272238725;-0.011788106641563737;0.23044027847741425;-0.980386272238725;-0.011788106641563737;0.23044027847741425;-0.980386272238725;-0.011788106641563737;0.23044027847741425;-0.987828859673153;0.02283813361915364;0.22329139328059391
-0.9858743288709998;0.021037585095142516;0.22567003209620343;-1.0001418233353327;0.017405081970688217;-0.12955002440985117;-0.9113706888734948;-0.20024644757201052;-0.40370439192837104;-0.9227632200147965;-0.023364262599549646;-0.39556195607740297;-0.9227632200147965;-0.023364262599549646;-0.39556195607740297;-0.9829955917232917;-0.011676716941955127;0.2304527129386232;-0.9829955917232917;-0.011676716941955127;0.2304527129386232;-0.9829955917232917;-0.011676716941955127;0.2304527129386232;-0.9858743288709998;0.021037585095142516;0.22567003209620343
-0.9836695875527921;0.01860613168246395;0.22382783094019743;-1.0022730481166233;0.014923118844732169;-0.12847951148745343;-0.9102877590781951;-0.19935495676025963;-0.4047643070044531;-0.9216094415700168;-0.023541422637581834;-0.39425300162253846;-0.9216094415700168;-0.023541422637581834;-0.39425300162253846;-0.9852695037430355;-0.011707355581798348;0.23074529590778703;-0.9852695037430355;-0.011707355581798348;0.23074529590778703;-0.9852695037430355;-0.011707355581798348;0.23074529590778703;-0.9836695875527921;0.01860613168246395;0.22382783094019743
-0.9872916358313435;0.022978558260443274;0.22491197621765657;-1.0069872515806826;0.01796107484859696;-0.13122193383599884;-0.9075789484642662;-0.1964322293746673;-0.40641343566405214;-0.9223554891568606;-0.022873909521591077;-0.39459153431757654;-0.9223554891568606;-0.022873909521591077;-0.39459153431757654;-0.9808898005835431;-0.01169326166515522;0.22829216694038312;-0.9808898005835431;-0.01169326166515522;0.22829216694038312;-0.9808898005835431;-0.01169326166515522;0.22829216694038312;-0.9872916358313435;0.022978558260443274;0.22491197621765657
-0.9885239927596783;0.020120227889767386;0.22785275782097336;-1.0079877737595495;0.02311021400167409;-0.13631898832330094;-0.9056220196591926;-0.1951382093774106;-0.4085371972543885;-0.9190384572366241;-0.02668414987112301;-0.39437483902485804;-0.9190384572366241;-0.02668414987112301;-0.39437483902485804;-0.9839283954426855;-0.011719608208581577;0.22279759966359722;-0.9839283954426855;-0.011719608208581577;0.22279759966359722;-0.9839283954426855;-0.011719608208581577;0.22279759966359722;-0.9885239927596783;0.020120227889767386;0.22785275782097336
-0.9882687612706974;0.02303391055983292;0.2203616579632008;-1.0077246541117533;0.02021422956142405;-0.13391225137217824;-0.909262376376759;-0.19496682373403584;-0.41376201279442676;-0.9177568432182184;-0.024544607952727632;-0.39490705399658715;-0.9177568432182184;-0.024544607952727632;-0.39490705399658715;-0.9789131179961754;-0.011628952388695765;0.2278945127822236;-0.9789131179961754;-0.011628952388695765;0.2278945127822236;-0.9789131179961754;-0.011628952388695765;0.2278945127822236;-0.9882687612706974;0.02303391055983292;0.2203616579632008
-0.9882095073583549;0.017314733373186505;0.22115153060923126;-1.0079181415693963;0.022440308010684275;-0.1328009260001998;-0.9104201004726116;-0.19822494614362043;-0.4113373915566527;-0.9180690190364311;-0.02349735804068207;-0.39155736010146563;-0.9180690190364311;-0.02349735804068207;-0.39155736010146563;-0.9760754605127212;-0.011961673148212278;0.2339909760455979;-0.9760754605127212;-0.011961673148212278;0.2339909760455979;-0.9760754605127212;-0.011961673148212278;0.2339909760455979;-0.9882095073583549;0.017314733373186505;0.22115153060923126
-0.9886862873815105;0.018535337424098228;0.2235382443394576;-1.0074061679138702;0.021116837726236654;-0.13031152405248705;-0.9101342653015609;-0.19940050384949862;-0.40990786452164024;-0.9179593739841574;-0.020500770182243215;-0.3903989305196698;-0.9179593739841574;-0.020500770182243215;-0.3903989305196698;-0.9766472157580101;-0.009219355010423442;0.23435098124273115;-0.9766472157580101;-0.009219355010423442;0.23435098124273115;-0.9766472157580101;-0.009219355010423442;0.23435098124273115;-0.9886862873815105;0.018535337424098228;0.2235382443394576
-0.9852858564576225;0.016460001189587917;0.21920919670336786;-1.0108176067490484;0.016178995803564574;-0.12555699694123734;-0.9102498922900146;-0.19925460744652868;-0.41035192720809627;-0.9180943719256001;-0.019261754882235603;-0.3905643944307381;-0.9180943719256001;-0.019261754882235603;-0.3905643944307381;-0.9769116192711006;-0.004178957252579657;0.23489948033682093;-0.9769116192711006;-0.004178957252579657;0.23489948033682093;-0.9769116192711006;-0.004178957252579657;0.23489948033682093;-0.9852858564576225;0.016460001189587917;0.21920919670336786
-0.9841809105982194;0.01833162419571438;0.22167099741987992;-1.0119126181231661;0.015495803429765812;-0.12517617396933836;-0.9100661856354443;-0.1987961235570932;-0.40987941267542544;-0.9176677959735959;-0.01956254697282287;-0.3909297925925417;-0.9176677959735959;-0.01956254697282287;-0.3909297925925417;-0.9736863829878767;-0.006805918716910744;0.23083959721150105;-0.9736863829878767;-0.006805918716910744;0.23083959721150105;-0.9736863829878767;-0.006805918716910744;0.23083959721150105;-0.9841809105982194;0.01833162419571438;0.22167099741987992
-0.9844894360797305;0.019875068941687217;0.22295310982592328;-1.011632668666622;0.01552794147807772;-0.12213771518430193;-0.9106775308308549;-0.2024436209395288;-0.4130255625107461;-0.9209252688583499;-0.01947909301508282;-0.3876288688484025;-0.9209252688583499;-0.01947909301508282;-0.3876288688484025;-0.9719999888877945;-0.008038822368376991;0.23387027973266422;-0.9719999888877945;-0.008038822368376991;0.23387027973266422;-0.9719999888877945;-0.008038822368376991;0.23387027973266422;-0.9844894360797305;0.019875068941687217;0.22295310982592328
-0.9842555406834758;0.019071024157503894;0.22261743548004406;-1.0117640585044692;0.015979553013268078;-0.11839086506461637;-0.9066770043276371;-0.20275044226370773;-0.41530768600021184;-0.9245090323772523;-0.019523146438629166;-0.38605310707733614;-0.9245090323772523;-0.019523146438629166;-0.38605310707733614;-0.9763511471051853;-0.007740586369815663;0.2311346560917345;-0.9763511471051853;-0.007740586369815663;0.2311346560917345;-0.9763511471051853;-0.007740586369815663;0.2311346560917345;-0.9842555406834758;0.019071024157503894;0.22261743548004406
-0.9848803873664902;0.022675079049512745;0.2227860158040341;-1.011512808652111;0.012334996083952918;-0.11106525788109306;-0.909366831007606;-0.20872829321582362;-0.40473889810784486;-0.9322666823783426;-0.019429167415604087;-0.390259070338186;-0.9322666823783426;-0.019429167415604087;-0.390259070338186;-0.9732406230547688;-0.007808987015513559;0.23345100552356737;-0.9732406230547688;-0.007808987015513559;0.23345100552356737;-0.9732406230547688;-0.007808987015513559;0.23345100552356737;-0.9848803873664902;0.022675079049512745;0.2227860158040341
-0.9807406133862697;0.023649152454789955;0.22244174274439482;-1.0142923065290077;0.011846956340957475;-0.1058747371732438;-0.9101659532839367;-0.21763209301241113;-0.39875091961718306;-0.9340027554710918;-0.019754334913066662;-0.3876334058957487;-0.9340027554710918;-0.019754334913066662;-0.3876334058957487;-0.9756770825043665;-0.007820203119467276;0.23457762451959915;-0.9756770825043665;-0.007820203119467276;0.23457762451959915;-0.9756770825043665;-0.007820203119467276;0.23457762451959915;-0.9807406133862697;0.023649152454789955;0.22244174274439482
-0.9839310065129702;0.02306393055017092;0.22562047316288178;-1.0220333793811582;0.008583731632883247;-0.10539465215981339;-0.9130608736125388;-0.22156628816098026;-0.3957145645556443;-0.9331912997365301;-0.016580727121371482;-0.3861639483418367;-0.9331912997365301;-0.016580727121371482;-0.3861639483418367;-0.9769107065527941;-0.007713213956231591;0.23454891890511936;-0.9769107065527941;-0.007713213956231591;0.23454891890511936;-0.9769107065527941;-0.007713213956231591;0.23454891890511936;-0.9839310065129702;0.02306393055017092;0.22562047316288178
-0.9813011919910749;0.026545415057735448;0.23004958822603105;-1.026625791361682;0.007283832437288233;-0.10559677075669929;-0.9175743263801528;-0.22958855392935734;-0.3880153164499699;-0.936885550025776;-0.012149368304633992;-0.39002421195655457;-0.936885550025776;-0.012149368304633992;-0.39002421195655457;-0.976211706342002;-0.008117616911756319;0.23365981083432444;-0.976211706342002;-0.008117616911756319;0.23365981083432444;-0.976211706342002;-0.008117616911756319;0.23365981083432444;-0.9813011919910749;0.026545415057735448;0.23004958822603105
-0.9803043228545182;0.03022839895323525;0.23060772522062656;-1.0308027920800042;0.011256088628349684;-0.1052225379050366;-0.9180666525494667;-0.2278803547950789;-0.3833852778971418;-0.9377480853321433;-0.01159520783326662;-0.3908151572055428;-0.9377480853321433;-0.01159520783326662;-0.3908151572055428;-0.979966016823213;-0.0045023000427196255;0.24142328320656473;-0.979966016823213;-0.0045023000427196255;0.24142328320656473;-0.979966016823213;-0.0045023000427196255;0.24142328320656473;-0.9803043228545182;0.03022839895323525;0.23060772522062656
